;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustSpeed;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;WindDir9am_E;WindDir9am_ENE;WindDir9am_ESE;WindDir9am_N;WindDir9am_NE;WindDir9am_NNE;WindDir9am_NNW;WindDir9am_NW;WindDir9am_S;WindDir9am_SE;WindDir9am_SSE;WindDir9am_SSW;WindDir9am_SW;WindDir9am_W;WindDir9am_WNW;WindDir9am_WSW;WindDir3pm_E;WindDir3pm_ENE;WindDir3pm_ESE;WindDir3pm_N;WindDir3pm_NE;WindDir3pm_NNE;WindDir3pm_NNW;WindDir3pm_NW;WindDir3pm_S;WindDir3pm_SE;WindDir3pm_SSE;WindDir3pm_SSW;WindDir3pm_SW;WindDir3pm_W;WindDir3pm_WNW;WindDir3pm_WSW;WindGustDir_E;WindGustDir_ENE;WindGustDir_ESE;WindGustDir_N;WindGustDir_NE;WindGustDir_NNE;WindGustDir_NNW;WindGustDir_NW;WindGustDir_S;WindGustDir_SE;WindGustDir_SSE;WindGustDir_SSW;WindGustDir_SW;WindGustDir_W;WindGustDir_WNW;WindGustDir_WSW
0;15.1;32.9;0.0;6.75;7.125;50.0;7.0;11.0;73.0;32.0;1015.5;1011.8;7.0;4.5;19.0;30.3;2.7755575615628914e-17;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-6.938893903907228e-18;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;0.0
1;8.4;16.2;0.0;4.0;2.3;46.0;28.0;28.0;45.0;74.0;1011.3;1011.9;7.0;7.0;13.7;14.599999999999998;2.7755575615628914e-17;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;1.0
2;17.0;24.7;0.0;6.0;8.3;39.0;13.0;20.0;56.0;57.0;1007.1;1003.7;7.0;3.0;21.4;24.2;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.938893903907228e-18;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;1.0;0.0;0.0;0.0
3;12.3;18.8;0.0;4.2;9.674999999999999;39.0;19.0;20.0;51.0;29.0;1017.7;1015.6;7.0;1.0000000000000004;12.9;18.0;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;1.0
4;1.0999999999999996;18.3;0.20000000000000018;1.6999999999999997;7.574999999999999;13.0;0.0;6.0;100.0;49.0;1029.5;1025.5;4.5;5.25;7.1;17.9;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;0.0
5;-3.1999999999999993;14.1;0.0;0.7999999999999998;8.5;15.0;4.0;2.0;85.0;52.0;1032.7;1030.6;1.0000000000000004;1.0000000000000004;3.5999999999999996;13.1;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.9999999999999999;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;1.0
6;17.5;34.2;0.0;8.0;5.2;67.0;15.0;22.0;43.0;15.0;1008.2;1001.3;7.0;7.0;24.1;33.2;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;1.0
7;5.9;10.4;0.3999999999999999;1.7999999999999998;3.4000000000000004;46.0;20.0;22.0;57.0;47.0;1021.6;1022.1;1.0000000000000004;2.0;8.1;10.4;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;1.0;0.0;0.0;0.0
8;14.9;39.1;0.0;12.4;12.0;44.0;7.0;19.0;6.0;3.0;1014.8;1010.3;0.0;1.0000000000000004;31.6;37.7;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;0.0
9;9.4;31.1;0.0;5.0;9.8;33.0;9.0;13.0;24.000000000000007;7.0;1017.2;1011.5;5.0;6.0;21.0;29.9;2.7755575615628914e-17;0.0;0.0;0.0;0.0;0.9999999999999999;0.0;0.0;6.938893903907228e-18;6.938893903907228e-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.938893903907228e-18;-6.938893903907228e-18;0.0;0.0;0.0
